#Name  long  lat  Pivot_Energy(MeV)  Flux1000E(ph/cm^2/s)  Unc_Flux1000E(ph.cm^2/s)  SpectrumType  PL_Flux_Density(ph/cm^2/MeV/s)  Unc_PL_Flux_Density(ph/sm^2/MeV/s)  PL_Index  Unc_PL_Index  LP_Flux_Density(ph/cm^2/MeV/s)  Unc_LP_Flux_Density(ph/cm^2/MeV/s)  LP_Index  Unc_LP_Index  LP_beta  Unc_LP_beta      
4FGL_J1555.7-2908  344.4837   18.5021      948.05  4.0733E-10  5.3196E-11  PowerLaw  6.7857E-13  7.8275E-14    2.4598    0.0837  8.9408E-13  1.1951E-13    2.3850    0.1340    0.2469    0.1091
4FGL_J1623.7-2315c  353.5376   18.1364     2602.77  3.6855E-10  8.7300E-11  PowerLaw  5.2417E-14  1.2308E-14    2.3681    0.1360  6.0154E-14  1.5761E-14    2.4186    0.1987    0.0593    0.0882
4FGL_J1624.3-3952  341.1848    6.6913     1745.59  1.2604E-09  1.2115E-10  LogParabola  3.6838E-13  3.6246E-14    2.3243    0.0662  5.1455E-13  5.5320E-14    2.1350    0.1414    0.3499    0.1066
4FGL_J1643.3-3148  349.8229    9.2423     1639.93  6.0345E-10  8.3279E-11  LogParabola  1.9994E-13  2.8185E-14    2.2758    0.0961  2.8149E-13  4.5249E-14    1.9940    0.2020    0.4032    0.1827
4FGL_J1649.8-3010  351.9847    9.2116     1275.86  1.5438E-09  1.1085E-10  LogParabola  9.1378E-13  6.2762E-14    2.3279    0.0510  1.2588E-12  9.7815E-14    2.0030    0.1218    0.4036    0.0932
4FGL_J1655.9-3940  345.3499    2.2816     4367.49  6.4898E-10  1.3121E-10  PowerLaw  3.0121E-14  5.5694E-15    2.2195    0.1221  4.2557E-14  8.7756E-15    2.6116    0.3536    0.4597    0.2947
4FGL_J1656.5-2733  354.9977    9.6776     1480.31  7.8931E-10  9.2129E-11  LogParabola  2.8380E-13  3.6107E-14    2.3635    0.0858  5.1637E-13  6.9917E-14    1.8664    0.2586    0.9392    0.3199
4FGL_J1657.4-3917c  345.8260    2.2914     3226.96  6.6523E-10  1.3570E-10  PowerLaw  5.7815E-14  1.1272E-14    2.3306    0.1399  8.0962E-14  1.8753E-14    2.6641    0.3204    0.4717    0.3310
4FGL_J1703.6-2850  354.9269    7.6643     1432.73  8.0391E-10  9.2919E-11  LogParabola  3.7375E-13  4.3144E-14    2.3589    0.0816  5.1070E-13  6.4756E-14    2.1552    0.1546    0.3240    0.1102
4FGL_J1706.8-4540  341.8465   -2.9926     2307.88  8.9891E-10  1.4126E-10  PowerLaw  1.6373E-13  2.5469E-14    2.5939    0.1075  2.0132E-13  3.6924E-14    2.8712    0.3231    0.2765    0.1879
4FGL_J1711.0-3002  354.9073    5.6434     1530.20  1.2388E-09  1.3304E-10  LogParabola  3.9579E-13  4.8574E-14    2.4696    0.0762  7.9068E-13  8.1558E-14    2.2358    0.2096    0.9750    0.1305
4FGL_J1711.9-1922    3.8428   11.6571     1903.10  6.8009E-10  8.3971E-11  LogParabola  1.5393E-13  1.9731E-14    2.1853    0.0853  2.3564E-13  3.3122E-14    1.9417    0.1818    0.4544    0.1523
4FGL_J1722.8-0418   18.4701   17.4795     1899.66  9.4516E-10  1.1036E-10  LogParabola  2.3094E-13  2.8096E-14    2.3262    0.0773  3.1139E-13  3.9284E-14    2.4015    0.1476    0.2507    0.0984
4FGL_J1725.1-1924    5.5828    9.0323     1521.19  7.6956E-10  8.7755E-11  PowerLaw  3.9161E-13  4.3631E-14    2.3779    0.0821  4.7402E-13  6.3773E-14    2.3559    0.1230    0.1591    0.1066
4FGL_J1728.1-1610    8.7307   10.1880     2409.42  7.2817E-10  9.7521E-11  LogParabola  8.9266E-14  1.2652E-14    2.3078    0.0899  1.4540E-13  2.3269E-14    2.6098    0.2594    0.5775    0.2709
4FGL_J1730.4-0359   19.7380   15.9953     1381.30  1.4602E-09  1.1254E-10  LogParabola  6.5828E-13  5.1597E-14    2.2491    0.0546  1.0144E-12  8.8717E-14    1.8721    0.1461    0.5756    0.1284
4FGL_J1735.3-0717   17.4211   13.2895     1314.57  9.2407E-10  1.0459E-10  LogParabola  6.0772E-13  6.3319E-14    2.5198    0.0724  7.9792E-13  9.2428E-14    2.6212    0.1315    0.2418    0.0976
4FGL_J1739.1-1059   14.6321   10.6091     1208.36  5.3886E-10  1.0931E-10  LogParabola  3.1899E-13  7.2035E-14    2.4823    0.1371  6.4055E-13  1.1682E-13    2.2998    0.3761    0.9999  NULL
4FGL_J1743.7-4321  347.4506   -7.1662     1107.43  1.0750E-09  1.0306E-10  LogParabola  8.9950E-13  8.3235E-14    2.4455    0.0664  1.3761E-12  1.4096E-13    2.1307    0.1501    0.5629    0.1440
4FGL_J1744.0-1311   13.3380    8.4520     1644.26  1.1046E-09  1.1087E-10  LogParabola  3.6007E-13  3.6558E-14    2.2906    0.0710  5.1114E-13  5.7923E-14    1.9876    0.1554    0.3992    0.1190
4FGL_J1747.9-3224  357.2854   -2.2290     3188.92  1.0578E-09  2.4323E-10  LogParabola  6.7050E-14  1.5153E-14    2.3425    0.1191  1.1093E-13  2.3543E-14    2.5064    0.2847    0.4037    0.2197
4FGL_J1752.8-4449  346.9912   -9.3164     2126.33  7.6931E-10  1.0679E-10  LogParabola  1.3258E-13  1.8902E-14    2.2878    0.0844  2.0941E-13  3.2488E-14    2.2028    0.1992    0.4241    0.1697
4FGL_J1754.3-4443  347.2023   -9.4909     1635.14  6.8703E-10  1.0637E-10  LogParabola  1.9930E-13  3.4382E-14    2.3713    0.0976  3.4169E-13  5.7443E-14    2.4282    0.2338    0.4377    0.1760
4FGL_J1758.7-4109  350.7725   -8.4803     1341.92  1.1044E-09  9.0099E-11  LogParabola  6.4190E-13  5.0076E-14    2.3217    0.0595  7.7947E-13  6.7850E-14    2.1812    0.0921    0.1889    0.0581
4FGL_J1802.4-3041    0.3256   -4.0421     2734.72  1.1773E-09  1.3274E-10  LogParabola  1.4404E-13  1.4158E-14    2.1116    0.0665  2.0476E-13  2.3067E-14    1.7894    0.1791    0.3944    0.1279
4FGL_J1805.1-3618  355.6623   -7.2374     1528.51  9.8315E-10  9.9109E-11  LogParabola  3.4132E-13  3.6218E-14    2.3253    0.0723  5.7416E-13  6.6683E-14    1.8613    0.2009    0.7475    0.2028
4FGL_J1808.4-3358  358.0455   -6.7254     1416.70  1.5967E-09  1.2257E-10  LogParabola  6.7099E-13  5.7634E-14    2.4343    0.0547  1.2389E-12  9.4626E-14    2.4068    0.1461    0.8911    0.1203
4FGL_J1808.4-3522  356.8165   -7.3961     2239.86  4.3619E-10  8.1105E-11  LogParabola  6.0430E-14  1.2706E-14    2.2298    0.1280  1.1944E-13  2.7659E-14    2.0612    0.2977    0.7562    0.3965
4FGL_J1808.5-3701  355.3435   -8.1810     1263.24  6.5587E-10  8.3849E-11  LogParabola  3.9823E-13  5.0310E-14    2.3853    0.0858  5.8444E-13  8.1349E-14    2.2118    0.1662    0.3850    0.1419
4FGL_J1810.8-3347  358.4481   -7.0842     2142.01  3.1735E-10  7.2099E-11  PowerLaw  7.1706E-14  1.6296E-14    2.2945    0.1473  9.2754E-14  2.1813E-14    2.1296    0.2872    0.2378    0.1586
4FGL_J1812.8-3144    0.4778   -6.4977     1648.29  8.5372E-10  1.0084E-10  LogParabola  2.7125E-13  3.2819E-14    2.2777    0.0817  3.9472E-13  5.3428E-14    1.9229    0.1887    0.4462    0.1518
4FGL_J1813.2-1128   18.3539    3.0979     1620.56  1.5133E-09  1.9330E-10  LogParabola  5.3408E-13  7.7015E-14    2.5269    0.0859  7.5051E-13  9.8728E-14    2.5162    0.2271    0.3049    0.1227
4FGL_J1813.7-1152   18.0758    2.7860     2652.25  1.4456E-09  1.9244E-10  PowerLaw  1.8838E-13  2.4514E-14    2.5169    0.0884  2.3161E-13  3.1898E-14    2.6658    0.2132    0.2019    0.1142
4FGL_J1814.6-2537    6.0881   -3.9611     1087.43  7.5813E-10  1.2532E-10  LogParabola  6.7573E-13  1.1419E-13    2.5059    0.1086  1.0687E-12  1.7994E-13    2.2313    0.2575    0.5888    0.2506
